顯卡型號,報告日期,最低價格,最高價格,平均價格
GeForce RTX 3060,2021-09-15,399.99,1099.0,744.52
GeForce RTX 3060,2021-09-23,399.99,1099.0,730.1
GeForce RTX 3060,2021-10-01,399.99,1099.0,715.53
GeForce RTX 3060,2021-10-08,399.99,1099.0,721.45
GeForce RTX 3060,2021-10-15,399.99,1136.0,707.05
GeForce RTX 3060,2021-10-23,399.99,1136.0,728.11
GeForce RTX 3060,2021-11-01,399.99,1136.0,699.97
GeForce RTX 3060,2021-11-08,399.99,1136.0,692.21
GeForce RTX 3060,2021-11-15,459.99,1099.99,760.53
GeForce RTX 3060,2021-11-23,489.99,1188.99,833.97
GeForce RTX 3060,2021-12-01,459.99,1149.0,838.63
GeForce RTX 3060,2021-12-08,459.99,1249.99,897.56
GeForce RTX 3060,2021-12-15,459.99,1235.97,857.48
GeForce RTX 3060,2021-12-23,459.99,1158.0,847.79
GeForce RTX 3060,2022-01-01,828.54,1099.0,959.61
GeForce RTX 3060,2022-01-08,853.88,1062.85,923.44
GeForce RTX 3060,2022-01-15,828.04,1062.85,924.2
GeForce RTX 3060,2022-01-23,689.99,1062.85,890.5
GeForce RTX 3060,2022-02-01,802.99,1038.91,882.64
GeForce RTX 3060,2022-02-08,790.99,999.99,873.6
GeForce RTX 3060,2022-02-15,624.95,1062.85,865.57
GeForce RTX 3060,2022-02-23,624.95,1038.91,837.38
GeForce RTX 3060,2022-03-01,702.0,999.99,840.78
GeForce RTX 3060,2022-03-08,539.99,1038.91,787.01
GeForce RTX 3060,2022-03-15,529.99,999.99,766.83
GeForce RTX 3060,2022-03-23,529.99,1125.99,783.62
GeForce RTX 3060,2022-04-01,499.99,938.0,710.87
GeForce RTX 3060,2022-04-08,479.99,1027.24,663.76
GeForce RTX 3060,2022-04-15,399.99,1027.38,673.68
GeForce RTX 3060,2022-04-23,399.99,997.0,659.26
GeForce RTX 3060,2022-05-01,488.99,997.0,662.44
GeForce RTX 3060,2022-05-08,459.99,997.0,621.77
GeForce RTX 3060,2022-05-15,479.99,846.99,599.61
GeForce RTX 3060,2022-05-23,439.99,846.99,569.53
GeForce RTX 3060,2022-06-01,399.99,846.99,544.62
GeForce RTX 3060,2022-06-08,399.99,818.99,526.72
GeForce RTX 3060,2022-06-15,387.49,699.0,494.29
GeForce RTX 3060,2022-06-23,379.99,699.0,493.58
GeForce RTX 3060,2022-07-01,384.99,699.0,487.81
GeForce RTX 3060,2022-07-08,384.99,699.0,482.14
GeForce RTX 3060,2022-07-15,384.99,589.99,460.81
GeForce RTX 3060,2022-07-23,331.99,559.0,450.4
GeForce RTX 3060,2022-08-01,369.99,579.0,451.2
GeForce RTX 3060,2022-08-08,369.99,589.99,443.56
GeForce RTX 3060,2022-08-15,369.99,648.0,448.56
GeForce RTX 3060,2022-08-23,369.99,589.99,442.9
GeForce RTX 3060,2022-09-01,369.99,649.99,444.34
GeForce RTX 3060,2022-09-08,369.48,589.99,434.44
GeForce RTX 3060,2022-09-15,369.99,599.99,436.54
GeForce RTX 3060,2022-09-23,369.48,589.99,437.3
GeForce RTX 3060,2022-10-01,369.99,549.99,424.62
GeForce RTX 3060,2022-10-08,369.48,560.99,429.73
GeForce RTX 3060,2022-10-15,358.05,549.99,422.06
GeForce RTX 3060,2022-10-23,369.0,549.99,421.62
GeForce RTX 3060,2022-11-01,354.99,549.99,419.4
GeForce RTX 3060,2022-11-08,354.99,579.0,423.29
GeForce RTX 3060,2022-11-15,369.39,579.0,426.89
GeForce RTX 3060,2022-11-23,335.99,614.94,429.52
GeForce RTX 3060,2022-12-01,369.0,590.99,429.71
GeForce RTX 3060,2022-12-08,359.99,509.9,411.77
GeForce RTX 3060,2022-12-15,353.99,554.83,413.94
GeForce RTX 3060,2022-12-23,349.99,579.0,414.28
GeForce RTX 3060,2023-01-01,349.99,549.99,424.87
GeForce RTX 3060,2023-01-08,349.99,599.95,437.69
GeForce RTX 3060,2023-01-15,349.99,589.0,432.91
GeForce RTX 3060,2023-01-23,349.99,549.99,420.8
GeForce RTX 3060,2023-02-01,349.99,549.99,417.16
GeForce RTX 3060,2023-02-08,348.59,549.99,419.48
GeForce RTX 3060,2023-02-15,349.99,549.99,421.83
GeForce RTX 3060,2023-02-23,349.99,549.99,412.47
GeForce RTX 3060,2023-03-01,349.99,576.22,415.77
GeForce RTX 3060,2023-03-08,349.99,576.22,411.03
GeForce RTX 3060,2023-03-15,342.99,510.0,402.4
GeForce RTX 3060,2023-03-23,342.99,549.99,402.33
GeForce RTX 3060,2023-04-01,329.99,559.99,402.97
GeForce RTX 3060,2023-04-08,324.99,519.99,396.1
GeForce RTX 3060,2023-04-15,324.99,549.9,400.4
GeForce RTX 3060,2023-04-23,324.99,469.9,382.63
GeForce RTX 3060,2023-05-01,348.83,440.99,378.12
GeForce RTX 3060,2023-05-08,339.99,440.99,376.88
GeForce RTX 3060,2023-05-15,339.99,440.99,375.51
GeForce RTX 3060,2023-05-23,314.99,459.99,376.43
