gpu_id,型號,推出日期,MSRP
1,GeForce RTX 3050,2022-01-27,249 
2,GeForce RTX 3060,2021-02-25,329 
3,GeForce RTX 3060 Ti,2020-12-02,399 
4,GeForce RTX 3070,2020-10-29,499 
5,GeForce RTX 3070 Ti,2021-06-10,599 
6,GeForce RTX 3080,2020-09-17,699 
7,GeForce RTX 3080 Ti,2021-06-03,1199 
8,GeForce RTX 3090,2020-09-24,1499 
9,GeForce RTX 3090 Ti,2022-03-22,1999 
10,GeForce RTX 4060,2023-06-29,299 
11,GeForce RTX 4060 Ti 8GB,2023-05-24,399 
12,GeForce RTX 4060 Ti 16GB,2023-07-18,499 
13,GeForce RTX 4070,2023-04-13,599 
14,GeForce RTX 4070 SUPER,2024-01-17,599 
15,GeForce RTX 4070 Ti,2023-01-05,799 
16,GeForce RTX 4070 Ti SUPER,2024-01-24,799 
17,GeForce RTX 4080,2022-11-16,1199 
18,GeForce RTX 4080 SUPER,2024-01-31,999 
19,GeForce RTX 4090,2022-10-12,1599 
20,GeForce RTX 5050,2025-06-25,249 
21,GeForce RTX 5060,2025-05-19,299 
22,GeForce RTX 5060 Ti 8GB,2025-04-16,379 
23,GeForce RTX 5060 Ti 16GB,2025-04-16,429 
24,GeForce RTX 5070,2025-03-05,549 
25,GeForce RTX 5070 Ti,2025-02-20,749 
26,GeForce RTX 5080,2025-01-30,999 
27,GeForce RTX 5090,2025-01-30,1199 
28,Radeon RX 7600,2023-05-25,269 
29,Radeon RX 7600 XT,2024-01-24,329 
30,Radeon RX 7700 XT,2023-09-06,449 
31,Radeon RX 7800 XT,2023-09-06,499 
32,Radeon RX 7900 XT,2022-12-13,899 
33,Radeon RX 7900 XTX,2022-12-13,999 
34,Radeon RX 9060 XT 8GB,2025-06-05,299 
35,Radeon RX 9060 XT 16GB,2025-06-05,349 
36,Radeon RX 9070,2025-03-06,549 
37,Radeon RX 9070 XT,2025-03-06,599 
