price_id,gpu_id,爬蟲日期,最低價格,最高價格,平均價格
1,2,2021/9/15,399.99,1099,744.52
2,2,2021/9/23,399.99,1099,730.1
3,2,2021/10/1,399.99,1099,715.53
4,2,2021/10/8,399.99,1099,721.45
5,2,2021/10/15,399.99,1136,707.05
6,2,2021/10/23,399.99,1136,728.11
7,2,2021/11/1,399.99,1136,699.97
8,2,2021/11/8,399.99,1136,692.21
9,2,2021/11/15,459.99,1099.99,760.53
10,2,2021/11/23,489.99,1188.99,833.97
11,2,2021/12/1,459.99,1149,838.63
12,2,2021/12/8,459.99,1249.99,897.56
13,2,2021/12/15,459.99,1235.97,857.48
14,2,2021/12/23,459.99,1158,847.79
15,2,2022/1/1,828.54,1099,959.61
16,2,2022/1/8,853.88,1062.85,923.44
17,2,2022/1/15,828.04,1062.85,924.2
18,2,2022/1/23,689.99,1062.85,890.5
19,2,2022/2/1,802.99,1038.91,882.64
20,2,2022/2/8,790.99,999.99,873.6
21,2,2022/2/15,624.95,1062.85,865.57
22,2,2022/2/23,624.95,1038.91,837.38
23,2,2022/3/1,702,999.99,840.78
24,2,2022/3/8,539.99,1038.91,787.01
25,2,2022/3/15,529.99,999.99,766.83
26,2,2022/3/23,529.99,1125.99,783.62
27,2,2022/4/1,499.99,938,710.87
28,2,2022/4/8,479.99,1027.24,663.76
29,2,2022/4/15,399.99,1027.38,673.68
30,2,2022/4/23,399.99,997,659.26
31,2,2022/5/1,488.99,997,662.44
32,2,2022/5/8,459.99,997,621.77
33,2,2022/5/15,479.99,846.99,599.61
34,2,2022/5/23,439.99,846.99,569.53
35,2,2022/6/1,399.99,846.99,544.62
36,2,2022/6/8,399.99,818.99,526.72
37,2,2022/6/15,387.49,699,494.29
38,2,2022/6/23,379.99,699,493.58
39,2,2022/7/1,384.99,699,487.81
40,2,2022/7/8,384.99,699,482.14
41,2,2022/7/15,384.99,589.99,460.81
42,2,2022/7/23,331.99,559,450.4
43,2,2022/8/1,369.99,579,451.2
44,2,2022/8/8,369.99,589.99,443.56
45,2,2022/8/15,369.99,648,448.56
46,2,2022/8/23,369.99,589.99,442.9
47,2,2022/9/1,369.99,649.99,444.34
48,2,2022/9/8,369.48,589.99,434.44
49,2,2022/9/15,369.99,599.99,436.54
50,2,2022/9/23,369.48,589.99,437.3
51,2,2022/10/1,369.99,549.99,424.62
52,2,2022/10/8,369.48,560.99,429.73
53,2,2022/10/15,358.05,549.99,422.06
54,2,2022/10/23,369,549.99,421.62
55,2,2022/11/1,354.99,549.99,419.4
56,2,2022/11/8,354.99,579,423.29
57,2,2022/11/15,369.39,579,426.89
58,2,2022/11/23,335.99,614.94,429.52
59,2,2022/12/1,369,590.99,429.71
60,2,2022/12/8,359.99,509.9,411.77
61,2,2022/12/15,353.99,554.83,413.94
62,2,2022/12/23,349.99,579,414.28
63,2,2023/1/1,349.99,549.99,424.87
64,2,2023/1/8,349.99,599.95,437.69
65,2,2023/1/15,349.99,589,432.91
66,2,2023/1/23,349.99,549.99,420.8
67,2,2023/2/1,349.99,549.99,417.16
68,2,2023/2/8,348.59,549.99,419.48
69,2,2023/2/15,349.99,549.99,421.83
70,2,2023/2/23,349.99,549.99,412.47
71,2,2023/3/1,349.99,576.22,415.77
72,2,2023/3/8,349.99,576.22,411.03
73,2,2023/3/15,342.99,510,402.4
74,2,2023/3/23,342.99,549.99,402.33
75,2,2023/4/1,329.99,559.99,402.97
76,2,2023/4/8,324.99,519.99,396.1
77,2,2023/4/15,324.99,549.9,400.4
