
gpu_models：id、顯卡型號、上市日期、MSRP(官方售價)

CREATE TABLE gpu_models(
model_id INT AUTO_INCREMENT PRIMARY KEY,
model_name VARCHAR(100) NOT NULL,
release_date DATE NOT NULL,
MSRP DECIMAL(6, 2)
);

model_name,release_date,MSRP
GeForce RTX 3060,2021/9/15,399.99
GeForce RTX 4070 Ti SUPER,2024/2/1,799.99
GeForce RTX 4080,2022/11/23,1199.99
GeForce RTX 4080 SUPER,2024/2/1,999.99
GeForce RTX 4090,2022/10/15,1599.99
GeForce RTX 5060,2025/5/23,299.99
GeForce RTX 5060 Ti,2025/4/16,472.99
GeForce RTX 5060 Ti 8GB,2025/4/16,419.99
GeForce RTX 5070,2025/2/1,549.99
GeForce RTX 5070 Ti,2025/2/15,899.99
GeForce RTX 5080,2025/1/23,1129.99
GeForce RTX 5090,2025/1/23,1999.99
Radeon RX 7600,2023/6/1,269.99
Radeon RX 7900 XTX,2022/12/15,999.99
Radeon RX 9060 XT,2025/6/8,349.99
Radeon RX 9070,2025/3/8,549.99
Radeon RX 9070 XT,2025/3/8,669.99
